id;Name;Type;LAT_deg;LON_deg;LAI;LAI_median;LAI_std;TWI;TWI_b;TWI_median;area;f_decid;f_decid_median;fine;med;coarse;peat;top_m;vol
1;Lompoloj‰ng‰noja;luonnontil.;68.00031447;24.20181407;2.27;2.51;1.07;8.31;0.18;8.01;513.43;0.26;0.25;0;0.71;0.04;0.25;0.03;63.86
2;Liuhapuro;luonnontil.;63.76217306;28.50531728;4.4;4.8;1.92;8.04;0.2;7.5;166.48;0.21;0.18;0;0.35;0;0.65;0.01;157.42
3;Porkkavaara;luonnontil.;63.86048775;29.15784293;4.27;4.34;1.64;7.02;0.23;6.51;71.58;0.19;0.16;0;0.79;0.01;0.2;0.03;167.58
10;Kelopuro;luonnontil.;63.16210323;30.69219778;1.75;2.04;1.36;8.35;0.27;7.81;71.55;0.11;0.07;0;0.39;0;0.61;0.01;86.94
11;Mets‰puro Nuuksio, Hauklammenoja;luonnontil.;60.35257159;24.69358455;4.58;4.53;1.61;6.46;0.28;5.81;128.51;0.27;0.21;0.12;0.83;0;0.05;0.01;182.18
13;Rudb‰cken 9 mets‰puro;mets‰talous;60.14388465;24.25897547;3.51;3.57;2.22;6.91;0.26;6.33;433.08;0.3;0.26;0.22;0.7;0.02;0.06;0.01;139.75
14;Paunulanpuro ;mets‰talous;61.66449357;24.34378054;4.35;4.54;1.75;7.42;0.24;6.83;154.04;0.3;0.25;0.07;0.8;0;0.13;0.01;166.61
16;Huhtisuonoja;mets‰talous;61.38084096;28.65195087;3.27;3.3;1.39;8.24;0.27;7.82;505.37;0.24;0.22;0;0.25;0.26;0.49;0.01;152.25
17;Kesselinpuro;mets‰talous;62.67125428;29.03080237;3.66;3.71;2.04;8.09;0.26;7.49;2005.68;0.32;0.27;0.01;0.61;0;0.38;0.01;140.18
19;Pahkaoja;mets‰talous;63.44629894;24.44530276;1.65;1.63;1.35;8.81;0.24;8.22;2321.79;0.25;0.21;0;0.44;0.04;0.52;0.01;65.34
20;V‰‰r‰joki;mets‰talous;65.91237795;29.18209384;1.88;1.81;1.61;7.87;0.26;7.3;1831.17;0.24;0.18;0;0.51;0.01;0.48;0.01;54.3
21;Myllypuro;mets‰talous;64.65905976;28.62050424;3.08;3.21;1.54;7.54;0.22;6.99;1046.99;0.29;0.25;0;0.66;0;0.34;0.01;96.45
22;V‰h‰-Askanjoki;mets‰talous;66.55094186;27.69395951;2.15;2.29;1.23;7.56;0.22;7.14;1642.29;0.21;0.11;0;0.74;0;0.26;0.01;61.22
24;Kotioja;mets‰talous;66.14321033;26.15341126;1.87;1.69;1.5;8.67;0.22;8.2;1715.81;0.25;0.2;0;0.45;0.01;0.54;0.01;50.87
25;Kohisevanpuro;mets‰talous;62.85179648;27.28370208;3.56;3.68;2.18;7.66;0.25;7.12;1069.72;0.33;0.29;0;0.7;0;0.3;0.01;135.71
26;Iittovuoma;luonnontil.;68.74817068;21.41440897;0.21;0;0.4;7.42;0.22;7.09;1157.12;0.91;1;0;0.86;0.01;0.12;0.02;2.41
27;Laanioja;mets‰talous;68.40214011;27.38880395;0.74;0.75;0.64;7.65;0.21;7.32;1370.57;0.37;0.33;0;0.87;0.06;0.06;0;24.2
28;Kroopinsuo;mets‰talous;60.79999581;22.36665119;3.27;3.09;1.38;7.28;0.26;6.67;179.1;0.18;0.14;0;0.71;0;0.29;0.01;144.37
29;Surnui;mets‰talous;62.44999263;27.03331981;2.78;2.85;1.72;7.92;0.22;7.37;70.76;0.34;0.31;0;0.59;0.04;0.37;0.01;107.52
30;Pakopirtti;mets‰talous;62.70438431;22.91393945;1.59;1.55;1.4;9.44;0.21;8.96;800.95;0.23;0.17;0;0.28;0;0.71;0.01;64.28
31;Ojakorpi;mets‰talous;60.6260903;22.62426053;3.54;3.35;1.57;7.18;0.25;6.54;31.13;0.27;0.22;0;0.95;0;0.05;0.01;140.48
32;Rantainrahka;mets‰talous;60.61317255;22.59933123;3.4;3.43;1.71;7.44;0.23;6.88;36.38;0.18;0.14;0.03;0.88;0;0.08;0.01;143.76
33;Kivipuro;mets‰talous;63.86808653;28.65156662;3.99;3.93;1.29;7.96;0.2;7.51;50.51;0.27;0.26;0;0.54;0;0.46;0.01;132.6
